country,1960,1961,1962,1963,1964,1965,1966
Afghanistan,769308,814923.0492,858521.6976,903913.8649,951225.9414,1000582.35,1058743.467
Albania,494443,511802.7798,529438.8515,547376.7486,565571.7525,583982.8866,602512.1668
Algeria,3293999,3515147.548,3739963.007,3973289.134,4220987.014,4488175.643,4649105.239
American Samoa,,13660.298,14165.79665,14758.92576,15396.41917,16044.8232,16693.10552
Andorra,,8723.92113,9700.34576,10748.38331,11865.86148,13052.75405,14216.8068
Angola,521205,548265.0462,579695.37,612086.6962,645261.5908,679109.1204,717833.3991
Antigua and Barbuda,21699,21635.05094,21664.20011,21740.73805,21830.17738,21908.8884,22003.13458
Argentina,15224096,15545222.59,15912120.02,16282345.35,16654412.49,17027711.84,17389812.09
Armenia,957974,1008597.321,1061426.399,1115612.321,1170683.409,1226270.423,1281581.61
Aruba,24996,28139.75709,28532.72851,28763.12219,28923.38571,29082.534,29252.22547
Australia,8375329,8587694.566,8841890.588,9055934.7,9279084.646,9507271.8,9768314.91
Austria,4560057,4590376.939,4622747.142,4656713.845,4692061.016,4726877.648,4763765.428
Azerbaijan,1857673,2108328.321,2167604.472,2227265.028,2285368.406,2340495.645,2395326.8
Bahamas,65457,69503.93493,73991.80232,78734.57668,83642.4672,88633.26703,93638.35354
Bahrain,128480,137681.9372,141956.4725,146037.6876,149946.7651,153739.575,157841.9217
Bangladesh,2761049,2757034.996,2948396.094,3148940.981,3361909.815,3589447.332,3871757.261
Barbados,84884,85334.55585,85841.35274,86382.77918,86908.24831,87382.00211,87807.86187
Belarus,2656152,2774678.662,2897400.75,3023617.083,3152411.471,3282734.7,3418036.002
Belgium,8435075,8503913.386,8550315.744,8627056.388,8721795.14,8814175.534,8887366.869
Belize,49165,50625.44777,52165.15104,53733.42335,55216.16534,56540.93016,57730.91033
Benin,211033,243244.5443,262755.33,282994.9553,303998.4334,325805.7231,353372.3595
Bermuda,44400,45500,46600,47700,48900,50100,51000
Bhutan,8064,8848.944,9605.217124,10399.22042,11235.41227,12118.66033,13216.86053
Bolivia,1233398,1271251.598,1310367.629,1350754.518,1392515.041,1435743.892,1480638.704
Bosnia and Herzegovina,604204,638479.05,672131.3822,706263.6703,740609.0151,774957.0443,813330.2014
Botswana,16240,17254.05332,18542.21535,19904.3069,21344.80698,22868.80783,28426.44114
Brazil,32662018,35327479.45,37170219.22,39086646.5,41058008.04,43069605.25,45112172.57
Brunei,35501,37761.23976,41059.23595,44574.27715,48338.18018,52380.82,56683.1655
Bulgaria,2918659,3084392.151,3250211.157,3416489.865,3585464.242,3753817.068,3886571.946
Burkina Faso,221872,237912.3803,246591.2376,255551.253,264885.5366,274670.3249,285488.4264
